Model,Age,Afraid,Angry,Attractive,Babyfaced,Disgusted,Dominant,Feminine,Happy,Masculine,Prototypic,Sad,Suitability,Surprised,Threatening,Trustworthy,Unusual,Warm,Competent,SocialStatus
IM646-023,38.21052632,3.368421053,3.842105263,2.736842105,2.315789474,3.473684211,,2.105263158,2.894736842,5.368421053,3.870967742,3.421052632,,2.736842105,4.421052632,3.210526316,3.263157895,2.894736842,3.421052632,3.368421053
IM647-548,31.86363636,2.863636364,3.136363636,4.045454545,2.681818182,2.590909091,,2.454545455,2.909090909,5.090909091,3.9,3.409090909,,2.363636364,2.954545455,4.227272727,2.909090909,4.227272727,4.318181818,3.727272727
IM648-337,35.47058824,3.529411765,3.882352941,3.529411765,2.470588235,3,,2.705882353,2.647058824,5.117647059,3.875,3.411764706,,3.470588235,4.235294118,4,3.352941176,3.647058824,3.764705882,4.235294118
IM651-308,32.10526316,2.473684211,2.210526316,2.578947368,2.052631579,2.210526316,,1.736842105,3.684210526,5.210526316,4.032258065,2.473684211,,2.578947368,3.473684211,3.157894737,2.421052632,3.368421053,2.947368421,2.842105263
IM652-191,49.35,2.3,2.6,3.1,2,2.85,,1.4,3.6,4.75,3.517241379,2.7,,3.05,3.55,4.3,2.85,3.15,3.65,3
IM653-008,26.95,2.35,2.2,4.15,2.05,2.4,,1.8,3.5,4.9,4.066666667,3,,2.3,2.55,4.65,2.25,4,3.7,4.4
IM654-417,52.22222222,2.944444444,2.944444444,3.166666667,1.722222222,2.5,,1.722222222,2.5,4.722222222,4.090909091,3.611111111,,2.055555556,3.277777778,3.944444444,2.277777778,3.555555556,3.888888889,3.888888889
IM655-234,41.95454545,2.954545455,3,3.545454545,2.681818182,2.409090909,,2.409090909,3.727272727,4.909090909,3,2.818181818,,3.090909091,3.5,4.181818182,2.818181818,3.681818182,4.272727273,4.227272727
IM656-273,43.11111111,3.833333333,3.166666667,3.166666667,2.222222222,3.333333333,,2.444444444,3.111111111,5.055555556,3.363636364,4.277777778,,2.944444444,4.055555556,4.111111111,3.777777778,4,4.111111111,3.777777778
IM657-308,32.77777778,3.555555556,3.5,2.611111111,2.166666667,3.055555556,,1.444444444,2.388888889,4.944444444,4.03125,3.055555556,,2.5,3.722222222,3.222222222,2.944444444,3.055555556,3.222222222,3.222222222
IM658-284,44.73684211,3.052631579,3.421052632,4.105263158,2.842105263,3.315789474,,2.789473684,3.263157895,5.052631579,3.636363636,3.526315789,,3.210526316,3.368421053,4.473684211,3.157894737,4.157894737,4.473684211,4.894736842
IM659-359,44.6,2.533333333,2.533333333,3.466666667,2.8,2.2,,1.533333333,2.8,5.266666667,3.206896552,3.4,,2.533333333,2,4.133333333,2.933333333,3.333333333,3.933333333,4.666666667
IM661-254,38.36363636,3.772727273,3.181818182,3.545454545,2.863636364,3.409090909,,2.363636364,2.681818182,5.454545455,3.266666667,4.909090909,,2.409090909,3.272727273,4.318181818,3.227272727,4.454545455,3.909090909,3.909090909
IM662-171,32.66666667,3.888888889,3.388888889,3.222222222,2.722222222,3.333333333,,1.833333333,3.166666667,5.111111111,3.392857143,3.333333333,,3.055555556,3.833333333,4.222222222,3.333333333,3.666666667,4.111111111,4.388888889
IM663-230,32.4,2.133333333,1.733333333,3.666666667,2.2,1.933333333,,1.8,3.933333333,5.2,3.909090909,2.266666667,,2.666666667,2.733333333,4.866666667,3.266666667,3.8,4.133333333,4.666666667
IM664-651,38.0952381,2.857142857,3.714285714,3.142857143,2,3.19047619,,2.619047619,2.80952381,4.428571429,4.133333333,3.238095238,,2.714285714,3.523809524,3.571428571,2.80952381,3.380952381,3.952380952,3.380952381
IM666-372,29.625,3.1875,4.25,3.5,2.25,3.5,,1.75,2.4375,5.6875,3.655172414,2.3125,,2.5625,3.0625,3.8125,2.75,3.0625,4,3.75
IM667-369,32.64705882,4.176470588,3.764705882,2.235294118,2.352941176,3.823529412,,2.647058824,2.647058824,5.411764706,3.3125,4.411764706,,2.470588235,4.764705882,3.411764706,3.764705882,3,3.294117647,3.117647059
IM669-111,37.47368421,2.368421053,4.105263158,3.736842105,2.052631579,3.210526316,,2.210526316,3.105263158,4.842105263,3.793103448,2.473684211,,2.736842105,3.631578947,5.105263158,3.105263158,4.052631579,4.052631579,5
IM670-215,41.86363636,3.590909091,3.090909091,2.772727273,2.045454545,2.681818182,,1.954545455,3.045454545,4.772727273,3.28125,3.409090909,,2.909090909,2.954545455,3.727272727,3.090909091,3.590909091,3.818181818,3.954545455
IM671-601,26.80952381,2.857142857,2.904761905,4.047619048,2.523809524,2.80952381,,2.380952381,3.19047619,5.238095238,3.633333333,3.80952381,,2.857142857,3.80952381,4.476190476,3,4,4.142857143,3.761904762
IM674-281,26.47368421,3.473684211,2.894736842,3.052631579,2.736842105,2.526315789,,2.631578947,3.210526316,4.368421053,3.285714286,3.421052632,,3.105263158,3.157894737,4.315789474,3,3.105263158,3.526315789,3.684210526
IM675-015,23.76470588,3.470588235,2.294117647,3.411764706,2.529411765,2.823529412,,2.352941176,2.764705882,4.117647059,4.033333333,3.588235294,,2.529411765,2.294117647,3.882352941,2.764705882,3.764705882,3.647058824,3.529411765
IM678-482,32.91666667,2.708333333,3.083333333,3.75,2.125,2.708333333,,2,3.75,5.333333333,3.9,3,,3.291666667,3.541666667,3.75,3.208333333,3.708333333,3.958333333,3.75
IM679-069,28.22222222,3,2.5,3.611111111,2.222222222,2.833333333,,2.055555556,3.277777778,4.333333333,2.931034483,2.888888889,,2.5,3.333333333,4.222222222,2.888888889,3.5,3.277777778,4.555555556
IM680-369,33.0625,3.0625,3.0625,3.125,2.0625,3,,2,3.875,5.0625,2.928571429,3.5,,3.5,3.5,3.125,3.375,3.125,3.875,4.125
IM681-253,33.72727273,2.545454545,2.227272727,3.954545455,2.909090909,2.454545455,,2.545454545,3.681818182,5.227272727,3.151515152,3.272727273,,2.863636364,2.818181818,4.045454545,3.590909091,3.727272727,4.136363636,4.636363636
IM682-019,30.66666667,3.111111111,2.666666667,3.722222222,2.055555556,2.555555556,,2.222222222,2.944444444,5.166666667,3.903225806,3.055555556,,2.944444444,3.166666667,4.166666667,3.388888889,4.111111111,4.333333333,4.333333333
